time,p_x,p_des_x,p_y,p_des_y,p_z,p_des_z,q_1,q_des_1,tau_1,q_2,q_des_2,tau_2,q_3,q_des_3,tau_3,q_4,q_des_4,tau_4,q_5,q_des_5,tau_5,q_6,q_des_6,tau_6
0.0,0.37487232882514687,0.37486525393392506,-0.09725661755041055,-0.09726364241220681,0.07718860214099373,0.07718795261864815,0.01159305963665247,0.01159305963665247,-5.660402871518911e-14,-0.9211976528167725,-0.9211976528167725,-1.5987211342844017e-14,0.49686214327812195,0.49686214327812195,2.986499809186729e-14,-0.0007669904152862728,-0.0007669904152862728,1.806094895628928e-14,1.4337127208709717,1.4338725805282593,0.003998090028763325,-0.02473543956875801,-0.02473543956875801,-1.6141850124617736e-14
0.005,0.37487232882514687,0.37486525393392506,-0.09725661755041055,-0.09726364241220681,0.07718860214099373,0.07718795261864815,0.01159305963665247,0.01159305963665247,-5.660402871518911e-14,-0.9211976528167725,-0.9211976528167725,-1.5987211342844017e-14,0.49686214327812195,0.49686214327812195,2.986499809186729e-14,-0.0007669904152862728,-0.0007669904152862728,1.806094895628928e-14,1.4337127208709717,1.4338725805282593,0.003999688625336201,-0.02473543956875801,-0.02473543956875801,-1.6141850124617736e-14
0.01,0.37487232882514687,0.37486525393392506,-0.09725661755041055,-0.09726364241220681,0.07718860214099373,0.07718795261864815,0.01159305963665247,0.01159305963665247,-5.660402871518911e-14,-0.9211976528167725,-0.9211976528167725,-1.5987211342844017e-14,0.49686214327812195,0.49686214327812195,2.986499809186729e-14,-0.0007669904152862728,-0.0007669904152862728,1.806094895628928e-14,1.4337127208709717,1.4338725805282593,0.004001287221909077,-0.02473543956875801,-0.02473543956875801,-1.6141850124617736e-14
0.015,0.37487232882514687,0.37486525393392506,-0.09725661755041055,-0.09726364241220681,0.07718860214099373,0.07718795261864815,0.01159305963665247,0.01159305963665247,-5.660402871518911e-14,-0.9211976528167725,-0.9211976528167725,-1.5987211342844017e-14,0.49686214327812195,0.49686214327812195,2.986499809186729e-14,-0.0007669904152862728,-0.0007669904152862728,1.806094895628928e-14,1.4337127208709717,1.4338725805282593,0.004002885818481953,-0.02473543956875801,-0.02473543956875801,-1.6141850124617736e-14
0.02,0.37487232882514687,0.37486525393392506,-0.09725661755041055,-0.09726364241220681,0.07718860214099373,0.07718795261864815,0.01159305963665247,0.01159305963665247,-5.660402871518911e-14,-0.9211976528167725,-0.9211976528167725,-1.5987211342844017e-14,0.49686214327812195,0.49686214327812195,2.986499809186729e-14,-0.0007669904152862728,-0.0007669904152862728,1.806094895628928e-14,1.4337127208709717,1.4338725805282593,0.004004484415054829,-0.02473543956875801,-0.02473543956875801,-1.6141850124617736e-14
0.025,0.37487232882514687,0.37486525393392506,-0.09725661755041055,-0.09726364241220681,0.07718860214099373,0.07718795261864815,0.01159305963665247,0.01159305963665247,-5.660402871518911e-14,-0.9211976528167725,-0.9211976528167725,-1.5987211342844017e-14,0.49686214327812195,0.49686214327812195,2.986499809186729e-14,-0.0007669904152862728,-0.0007669904152862728,1.806094895628928e-14,1.4337127208709717,1.4338725805282593,0.004006083011627705,-0.02473543956875801,-0.02473543956875801,-1.6141850124617736e-14
0.030000000000000002,0.37487232882514687,0.37486525393392506,-0.09725661755041055,-0.09726364241220681,0.07718860214099373,0.07718795261864815,0.01159305963665247,0.01159305963665247,-5.660402871518911e-14,-0.9211976528167725,-0.9211976528167725,-1.5987211342844017e-14,0.49686214327812195,0.49686214327812195,2.986499809186729e-14,-0.0007669904152862728,-0.0007669904152862728,1.806094895628928e-14,1.4337127208709717,1.4338725805282593,0.004007681608200581,-0.02473543956875801,-0.02473543956875801,-1.6141850124617736e-14
0.035,0.37487232882514687,0.37486525393392506,-0.09725661755041055,-0.09726364241220681,0.07718860214099373,0.07718795261864815,0.01159305963665247,0.01159305963665247,-5.660402871518911e-14,-0.9211976528167725,-0.9211976528167725,-1.5987211342844017e-14,0.49686214327812195,0.49686214327812195,2.986499809186729e-14,-0.0007669904152862728,-0.0007669904152862728,1.806094895628928e-14,1.4337127208709717,1.4338725805282593,0.0040092802047734565,-0.02473543956875801,-0.02473543956875801,-1.6141850124617736e-14
0.04,0.37487232882514687,0.37486525393392506,-0.09725661755041055,-0.09726364241220681,0.07718860214099373,0.07718795261864815,0.01159305963665247,0.01159305963665247,-5.660402871518911e-14,-0.9211976528167725,-0.9211976528167725,-1.5987211342844017e-14,0.49686214327812195,0.49686214327812195,2.986499809186729e-14,-0.0007669904152862728,-0.0007669904152862728,1.806094895628928e-14,1.4337127208709717,1.4338725805282593,0.004010878801346333,-0.02473543956875801,-0.02473543956875801,-1.6141850124617736e-14
0.045,0.37487232882514687,0.37486525393392506,-0.09725661755041055,-0.09726364241220681,0.07718860214099373,0.07718795261864815,0.01159305963665247,0.01159305963665247,-5.660402871518911e-14,-0.9211976528167725,-0.9211976528167725,-1.5987211342844017e-14,0.49686214327812195,0.49686214327812195,2.986499809186729e-14,-0.0007669904152862728,-0.0007669904152862728,1.806094895628928e-14,1.4337127208709717,1.4338725805282593,0.004012477397919208,-0.02473543956875801,-0.02473543956875801,-1.6141850124617736e-14
