time,p_x,p_des_x,p_y,p_des_y,p_z,p_des_z,q_1,q_des_1,tau_1,q_2,q_des_2,tau_2,q_3,q_des_3,tau_3,q_4,q_des_4,tau_4,q_5,q_des_5,tau_5,q_6,q_des_6,tau_6
0.0,0.2872,0.28,0.29011,0.0,0.24350000000000002,0.3,0.0,0.0,-10.0,0.0,0.0,-10.0,0.0,0.0,-10.0,0.0,0.0,-3.055517198381878,0.0,0.0,-10.0,0.0,0.0,-0.0
0.02,0.2872,0.28,0.29011,0.0,0.24350000000000002,0.3,0.0,-0.13361776130836275,-10.0,0.0,-0.13361776130836275,-10.0,0.0,-0.020173437687047664,-10.0,0.0,-0.006111034396763756,-2.184820001503456,0.0,-1.2033842279538352,-10.0,0.0,0.0,-0.0
0.04,0.2872,0.28,0.29011,0.0,0.24350000000000002,0.3,0.0,-0.1799897576251413,-10.0,0.0,-0.1799897576251413,-10.0,0.0,-0.04616063653101965,-10.0,0.0,-0.010113279011837232,-2.241295199470157,0.0,-1.66065160390536,-10.0,0.0,0.0,-0.0
0.06,0.2872,0.28,0.29011,0.0,0.24350000000000002,0.3,0.0,-0.2031832543436036,-10.0,0.0,-0.20318325431187723,-10.0,0.0,-0.06812890471138416,-10.0,0.0,-0.01398712575245828,-4.682526632047578,0.0,-2.02192212318762,-10.0,0.0,0.0,-0.0
0.08,0.2872,0.28,0.29011,0.0,0.24350000000000002,0.3,0.0,-0.21052214750714887,-10.0,0.0,-0.21052214749133405,-10.0,0.0,-0.08364293547502274,-10.0,0.0,-0.022509326098706612,-10.0,0.0,-2.346535218504122,10.0,0.0,0.0,-0.0
0.1,0.2872,0.28,0.29011,0.0,0.24350000000000002,0.3,0.0,-0.2683206598642297,-10.0,0.0,-0.2683206598488893,-10.0,0.0,-0.10203466186858298,-10.0,0.0,-0.04267748084374999,-10.0,0.0,-2.0712094881984764,-10.0,0.0,0.0,-0.0
0.12000000000000001,0.2872,0.28,0.29011,0.0,0.24350000000000002,0.3,0.0,-0.2691998734985833,-10.0,0.0,-0.26919987348753566,-10.0,0.0,-0.11084756112249433,-10.0,0.0,-0.06240375877062617,-10.0,0.0,-2.284611772672461,1.569245281961023,0.0,0.0,-0.0
0.14,0.2872,0.28,0.29011,0.0,0.24350000000000002,0.3,0.0,-0.30127202554647625,-10.0,0.0,-0.30127202554437754,-10.0,0.0,-0.12120297152311013,-5.220693255717693,0.0,-0.10704091806242347,-10.0,0.0,-2.1367415922320876,-10.0,0.0,0.0,-0.0
0.16,0.2872,0.28,0.29011,0.0,0.24350000000000002,0.3,0.0,-0.30127143123075684,-10.0,0.0,-0.30127143129303835,-10.0,0.0,-0.12165633621439788,-4.777596237409534,0.0,-0.16071131179531362,-10.0,0.0,-2.2608937755952176,-10.0,0.0,0.0,-0.0
0.18,0.2872,0.28,0.29011,0.0,0.24350000000000002,0.3,0.0,-0.3205431653115587,-10.0,0.0,-0.3205431653698094,-10.0,0.0,-0.12143341913485546,2.177440445410008,0.0,-0.2559661381800407,-10.0,0.0,-2.1706661904065863,-10.0,0.0,0.0,-0.0
