time,p_x,p_des_x,p_y,p_des_y,p_z,p_des_z,q_1,q_des_1,tau_1,q_2,q_des_2,tau_2,q_3,q_des_3,tau_3,q_4,q_des_4,tau_4,q_5,q_des_5,tau_5,q_6,q_des_6,tau_6
0.0,0.2801455189347575,0.28,-0.0020920571080890837,0.0,0.2000593176349533,0.3,-0.007457063999027014,0.0,-10.0,0.4879765510559082,0.0,-10.0,0.9893850088119507,0.0,-10.0,-0.0001917476038215682,0.0,2.3892399343274233,0.49183258414268494,0.0,-10.0,-0.03317233547568321,0.0,-5.354041723906995
0.02,0.2801455189347575,0.28,-0.0020920571080890837,0.0,0.2000593176349533,0.3,-0.007457063999027014,-0.13361776130836275,10.0,0.4879765510559082,-0.13361776130836275,10.0,0.9893850088119507,-0.020173437687047664,-10.0,-0.0001917476038215682,-0.006111034396763756,5.966432042103604,0.49183258414268494,-1.2033842279538352,10.0,-0.03317233547568321,0.0,-5.354041723906995
0.04,0.2801455189347575,0.28,-0.0020920571080890837,0.0,0.2000593176349533,0.3,-0.007457063999027014,-0.1799897576251413,10.0,0.4879765510559082,-0.1799897576251413,-10.0,0.9893850088119507,-0.04616063653101965,-10.0,-0.0001917476038215682,-0.010113279011837232,3.3844465911248314,0.49183258414268494,-1.66065160390536,-10.0,-0.03317233547568321,0.0,-5.354041723906995
0.06,0.2801455189347575,0.28,-0.0020920571080890837,0.0,0.2000593176349533,0.3,-0.007457063999027014,-0.2031832543436036,10.0,0.4879765510559082,-0.20318325431187723,-10.0,0.9893850088119507,-0.06812890471138416,-10.0,-0.0001917476038215682,-0.01398712575245828,-5.195111595109722,0.49183258414268494,-2.02192212318762,-10.0,-0.03317233547568321,0.0,-5.354041723906995
0.08,0.2801455189347575,0.28,-0.0020920571080890837,0.0,0.2000593176349533,0.3,-0.007457063999027014,-0.21052214750714887,-10.0,0.4879765510559082,-0.21052214749133405,-10.0,0.9893850088119507,-0.08364293547502274,-10.0,-0.0001917476038215682,-0.022509326098706612,-10.0,0.49183258414268494,-2.346535218504122,10.0,-0.03317233547568321,0.0,-5.354041723906995
0.1,0.2801455189347575,0.28,-0.0020920571080890837,0.0,0.2000593176349533,0.3,-0.007457063999027014,-0.2683206598642297,10.0,0.4879765510559082,-0.2683206598488893,10.0,0.9893850088119507,-0.10203466186858298,-10.0,-0.0001917476038215682,-0.04267748084374999,-5.297072236685478,0.49183258414268494,-2.0712094881984764,-10.0,-0.03317233547568321,0.0,-5.354041723906995
0.12000000000000001,0.2801455189347575,0.28,-0.0020920571080890837,0.0,0.2000593176349533,0.3,-0.007457063999027014,-0.2691998734985833,-10.0,0.4879765510559082,-0.26919987348753566,-10.0,0.9893850088119507,-0.11084756112249433,-10.0,-0.0001917476038215682,-0.06240375877062617,-10.0,0.49183258414268494,-2.284611772672461,10.0,-0.03317233547568321,0.0,-5.354041723906995
0.14,0.280128277165263,0.28,-0.0020779965510916766,0.0,0.20116089768888987,0.3,-0.00740720983594656,-0.30127202554647625,10.0,0.48406681418418884,-0.30127202554437754,10.0,0.9894291162490845,-0.12120297152311013,-10.0,-0.0001917476038215682,-0.10704091806242347,-10.0,0.49494847655296326,-2.1367415922320876,-10.0,-0.03317233547568321,0.0,-5.354041723906995
0.16,0.280128277165263,0.28,-0.0020779965510916766,0.0,0.20116089768888987,0.3,-0.00740720983594656,-0.30127143123075684,-10.0,0.48406681418418884,-0.30127143129303835,-10.0,0.9894291162490845,-0.12165633621439788,-10.0,-0.0001917476038215682,-0.16071131179531362,-10.0,0.49494847655296326,-2.2608937755952176,10.0,-0.03317233547568321,0.0,-5.354041723906995
0.18,0.280128277165263,0.28,-0.0020779965510916766,0.0,0.20116089768888987,0.3,-0.00740720983594656,-0.3205431653115587,10.0,0.48406681418418884,-0.3205431653698094,-10.0,0.9894291162490845,-0.12143341913485546,-10.0,-0.0001917476038215682,-0.2559661381800407,-10.0,0.49494847655296326,-2.1706661904065863,-10.0,-0.03317233547568321,0.0,-5.354041723906995
0.19999999999999998,0.280128277165263,0.28,-0.0020779965510916766,0.0,0.20116089768888987,0.3,-0.00740720983594656,-0.32208718341104325,-10.0,0.48406681418418884,-0.32208718346677623,-10.0,0.9894291162490845,-0.11127012585309687,-10.0,-0.0001917476038215682,-0.3706387540836987,-10.0,0.49494847655296326,-2.233951159898192,10.0,-0.03317233547568321,0.0,-5.354041723906995
0.21999999999999997,0.280128277165263,0.28,-0.0020779965510916766,0.0,0.20116089768888987,0.3,-0.00740720983594656,-0.3317459378943768,-10.0,0.48406681418418884,-0.3317459379505969,-10.0,0.9894291162490845,-0.10002891568214087,-10.0,-0.0001917476038215682,-0.5198528444430173,-10.0,0.49494847655296326,-2.210740429610156,-10.0,-0.03317233547568321,0.0,-5.354041723906995
0.23999999999999996,0.27991270677846414,0.28,-0.0018356955796978332,0.0,0.20647173954194278,0.3,-0.006504078395664692,-0.3373815291618149,-10.0,0.466629296541214,-0.33738152921634845,-10.0,0.9917665123939514,-0.08778127340100078,-10.0,-0.0005752427969127893,-0.664597266483998,-10.0,0.517638623714447,-2.2209346854743957,-10.0,-0.03317233547568321,0.0,-5.354041723906995
0.25999999999999995,0.27991270677846414,0.28,-0.0018356955796978332,0.0,0.20647173954194278,0.3,-0.006504078395664692,-0.34317333330446215,-10.0,0.466629296541214,-0.34317333335767347,-10.0,0.9917665123939514,-0.0790395639301489,-10.0,-0.0005752427969127893,-0.7921379103903836,-10.0,0.517638623714447,-2.2238239280694176,-10.0,-0.03317233547568321,0.0,-5.354041723906995
